Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/7/24,-92497290.53509888,-1111.745494141234,806.0415444839946,6410.810059,43.03030303,1.1642,1.3028,111.1,2.26,4.453676925,3.842857143,152.9173134
2017/7/25,-92497290.53509888,-1110.7754579487666,804.8707591161306,6412.169922,43.03030303,1.1656,1.3046,111.57,2.33,4.457279254,3.952380952,152.9484328
2017/7/26,-92497290.53509888,-1109.8054251936042,803.6999803948673,6422.75,43.03030303,1.1632,1.3048,112.1,2.29,4.460881583,4.061904762,152.9795522
2017/7/27,-92497290.53509888,-1108.835387889219,802.529203442393,6382.189941,43.03030303,1.1656,1.3065,111.62,2.32,4.464483912,4.171428571,153.0106716
2017/7/28,-92497290.53509888,-1107.8653514781795,801.3584182192325,6374.680176,43.03030303,1.1754,1.3124,110.87,2.3,4.468086241,4.280952381,153.041791
2017/7/31,-92497290.53509888,-1106.8953189427805,800.1876394190231,6348.120117,43.03030303,1.1826,1.3196,110.38,2.3,4.47168857,4.39047619,153.0729104
2017/8/1,-92497290.53509888,-1105.9164903903197,798.9693728788848,6362.939941,43.03030303,1.1799,1.3206,110.33,2.26,4.475290899,4.5,153.1040299
2017/8/2,-92497290.53509888,-1104.9464494272804,797.7985893585279,6362.649902,43.03030303,1.1861,1.3236,110.43,2.27,4.475290899,4.5,153.1351493
2017/8/3,-92497290.53509888,-1103.977031157842,796.627398669248,6340.339844,43.03030303,1.188,1.3144,110.12,2.24,4.467670806,4.795238095,153.1662687
2017/8/4,-92497290.53509888,-1103.917182375934,796.6670240713606,6351.560059,43.03030303,1.1754,1.3036,110.76,2.27,4.460050713,5.09047619,153.1973881
2017/8/7,-92497290.53509888,-1101.331789912712,792.9525532887213,6383.77002,43.03030303,1.1788,1.3021,110.76,2.26,4.45243062,5.385714286,153.2285075
2017/8/8,-92497290.53509888,-1098.7463868792627,789.2380882411143,6370.459961,43.03030303,1.1724,1.2968,110.74,2.29,4.444810528,5.680952381,153.2596269
2017/8/9,-92497290.53509888,-1096.160984755898,785.5236149186733,6352.330078,43.03030303,1.1748,1.2997,110.04,2.24,4.437190435,5.976190476,153.2907463
2017/8/10,-92497290.53509888,-1093.5755865002009,781.8091480213141,6216.870117,43.03030303,1.1751,1.2978,109.37,2.2,4.429570342,6.271428571,153.3218657
2017/8/11,-92497290.53509888,-1090.9901880267237,778.0946812687715,6256.560059,43.03030303,1.1811,1.2988,109.06,2.19,4.421950249,6.566666667,153.3529851
2017/8/14,-92497290.53509888,-1088.4047850032312,774.3802162849047,6340.22998,43.03030303,1.1786,1.2975,109.48,2.22,4.414330156,6.861904762,153.3841045
